model,condition,source_type,gold_label_source,n,parse_rate,any_defect_accuracy,type_exact_match_rate,type_precision,type_recall,type_f1,macro_type_precision,macro_type_recall,macro_type_f1,supported_defect_types,severity_weighted_precision,severity_weighted_recall,severity_weighted_f1,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,mean_over_report_count,mean_under_report_count,mean_severity_abs_error,span_support_rate,unsupported_span_rate,mean_confidence,brier_any_defect,ece_any_defect,high_confidence_wrong_rate,low_confidence_correct_rate,needs_human_review_rate,mean_pred_defect_count,mean_elapsed_sec
gemma3:4b,rubric_guided,acceptance_criterion,rule_seeded,96,0.9791666666666666,0.2604166666666667,0.020833333333333332,0.06382978723404255,0.13953488372093023,0.0875912408759124,0.09047619047619047,0.12912087912087913,0.09129967776584318,7,0.10204081632653061,0.16129032258064516,0.12500000000000003,0.71875,0.020833333333333332,0.0,0.71875,0.1875,0.8125,0.7872340425531915,0.2127659574468085,0.8354166666666663,0.5495312499999994,0.5749999999999997,0.71875,0.0,0.0,0.9791666666666666,3.8088020833333336
gemma3:4b,rubric_guided,function_spec,test_oracle_derived,200,0.995,0.715,0.01,0.020100502512562814,0.02631578947368421,0.02279202279202279,0.013457748213845775,0.08712121212121211,0.02168174962292609,6,0.024630541871921183,0.03225806451612903,0.02793296089385475,0.28,0.005,0.0,0.28,0.045,0.305,0.9296482412060302,0.07035175879396985,0.8477499999999971,0.22498750000000023,0.13274999999999706,0.28,0.0,0.0,0.995,3.212864999999998
gemma3:4b,rubric_guided,issue_statement,rule_seeded,96,0.96875,0.5833333333333334,0.052083333333333336,0.13953488372093023,0.10256410256410256,0.11822660098522168,0.07374338624338622,0.07029967159277503,0.05388816952357463,9,0.18421052631578946,0.10344827586206896,0.13249211356466875,0.3541666666666667,0.0625,0.03125,0.3541666666666667,0.6770833333333334,0.8333333333333334,0.6046511627906976,0.3953488372093023,0.8765624999999999,0.3236718750000001,0.31406250000000063,0.3958333333333333,0.010416666666666666,0.010869565217391304,0.8958333333333334,4.096208333333334
gemma3:4b,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.95,0.05,0.8508333333333319,0.28483333333333377,0.2266666666666652,0.375,0.0,0.0,1.0,3.2008083333333333
gemma3:4b,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,1.0,0.34375,0.34375,0.34375,0.34375,0.35944741532976826,0.34375,0.29855021009443794,8,0.4,0.3181818181818182,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.9375,0.0625,0.8499999999999995,0.02249999999999998,0.15000000000000047,0.0,0.0,0.0,1.0,3.2670729166666663
gemma3:4b,rubric_guided,testing_rule_spec,rule_spec_derived,5,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.6,0.25,0.75,0.6799999999999999,0.29799999999999993,0.48,0.4,0.2,0.0,0.8,3.4296000000000006
gemma3:4b,zero_shot,acceptance_criterion,rule_seeded,96,0.9791666666666666,0.2604166666666667,0.041666666666666664,0.09574468085106383,0.20930232558139536,0.13138686131386862,0.1023391812865497,0.18681318681318682,0.10524051517840337,7,0.1326530612244898,0.20967741935483872,0.1625,0.71875,0.020833333333333332,0.0,0.71875,0.1875,0.8125,0.851063829787234,0.14893617021276595,0.833333333333333,0.5457812499999992,0.573958333333333,0.71875,0.0,0.0,0.9791666666666666,2.663437500000001
gemma3:4b,zero_shot,function_spec,test_oracle_derived,200,0.995,0.715,0.01,0.015,0.019736842105263157,0.017045454545454544,0.009110216856695729,0.07196969696969698,0.014861721375032307,6,0.01951219512195122,0.025806451612903226,0.022222222222222223,0.28,0.005,0.0,0.285,0.045,0.305,0.9246231155778895,0.075,0.846749999999997,0.2251875000000002,0.13174999999999695,0.28,0.0,0.0,1.0,5.209345
gemma3:4b,zero_shot,issue_statement,rule_seeded,96,0.96875,0.65625,0.16666666666666666,0.2,0.1282051282051282,0.15625,0.1259525075314549,0.09179438058748403,0.08252749128325164,9,0.24752475247524752,0.12315270935960591,0.1644736842105263,0.2604166666666667,0.08333333333333333,0.041666666666666664,0.2604166666666667,0.6979166666666666,0.7291666666666666,0.6,0.4,0.8744791666666668,0.32242187500000014,0.24947916666666722,0.3229166666666667,0.010416666666666666,0.021505376344086023,0.78125,2.642052083333333
gemma3:4b,zero_shot,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.9833333333333333,0.016666666666666666,0.8499999999999984,0.28500000000000036,0.22499999999999842,0.375,0.0,0.0,1.0,3.8824083333333337
gemma3:4b,zero_shot,synthetic_defect,synthetic_injected,96,0.9895833333333334,0.9895833333333334,0.3541666666666667,0.35789473684210527,0.3541666666666667,0.35602094240837695,0.3548611111111111,0.3541666666666667,0.32566825711475816,8,0.4019607843137255,0.3106060606060606,0.3504273504273504,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.4270833333333333,0.9263157894736842,0.07368421052631578,0.8390624999999997,0.03351562499999998,0.1505208333333337,0.0,0.0,0.0,0.9895833333333334,39.50353125000001
gemma3:4b,zero_shot,testing_rule_spec,rule_spec_derived,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.2,0.8,0.6,0.4,0.85,0.4424999999999999,0.44999999999999996,0.6,0.0,0.0,1.0,5.4864
granite3.2-vision:latest,rubric_guided,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.28125,0.07291666666666667,0.0,0.4479166666666667,0.3541666666666667,0.0,0.0,0.9500000000000016,0.6493750000000009,0.23125000000000162,0.28125,0.0,0.0,0.0,0.7759479166666666
granite3.2-vision:latest,rubric_guided,function_spec,test_oracle_derived,200,1.0,0.285,0.245,0.125,0.019736842105263157,0.03409090909090909,0.03125,0.1875,0.05357142857142857,4,0.125,0.01935483870967742,0.033519553072625705,0.0,0.715,0.005,0.05,0.69,0.705,0.0,1.0,0.9337499999999974,0.24393749999999986,0.648749999999999,0.715,0.0,0.0,0.12,0.8653150000000001
granite3.2-vision:latest,rubric_guided,issue_statement,rule_seeded,96,0.9791666666666666,0.4166666666666667,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.03125,0.5520833333333334,0.3229166666666667,0.041666666666666664,1.09375,0.8645833333333334,0.0,1.0,0.9085416666666678,0.3643062500000002,0.49187500000000123,0.5625,0.0,0.0425531914893617,0.16666666666666666,1.1333854166666666
granite3.2-vision:latest,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.6333333333333333,0.625,0.0,0.0,0.9500000000000018,0.34,0.5750000000000018,0.625,0.0,0.0,0.0,0.7922583333333335
granite3.2-vision:latest,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.96875,0.3541666666666667,0.0,0.96875,1.34375,0.0,1.0,0.9459375000000015,0.0034343750000000034,0.9259375000000015,0.96875,0.0,0.03125,0.03125,0.8182500000000003
granite3.2-vision:latest,rubric_guided,testing_rule_spec,rule_spec_derived,5,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.6,0.6,0.0,0.0,0.95,0.5425,0.35,0.4,0.0,0.0,0.0,0.8192
granite3.2-vision:latest,zero_shot,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.28125,0.07291666666666667,0.07291666666666667,0.4375,0.4166666666666667,0.0,1.0,0.9391666666666679,0.6329083333333342,0.22958333333333467,0.28125,0.0,0.0,0.08333333333333333,0.8239270833333333
granite3.2-vision:latest,zero_shot,function_spec,test_oracle_derived,200,0.995,0.285,0.2,0.07692307692307693,0.019736842105263157,0.031413612565445025,0.019230769230769232,0.1875,0.034883720930232565,4,0.07692307692307693,0.01935483870967742,0.030927835051546396,0.0,0.715,0.005,0.095,0.66,0.72,0.0,1.0,0.9192499999999975,0.22996750000000016,0.6442499999999999,0.715,0.005,0.0,0.195,0.9550650000000007
granite3.2-vision:latest,zero_shot,issue_statement,rule_seeded,96,0.9895833333333334,0.4166666666666667,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.020833333333333332,0.5625,0.3229166666666667,0.07291666666666667,1.09375,0.8958333333333334,0.0,1.0,0.914375000000001,0.34672500000000017,0.4977083333333345,0.5729166666666666,0.0,0.031578947368421054,0.19791666666666666,1.1488854166666664
granite3.2-vision:latest,zero_shot,layout_change_spec,mutation_description_derived,120,1.0,0.375,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.625,0.0,0.008333333333333333,0.6333333333333333,0.6333333333333333,0.0,1.0,0.9489166666666686,0.3380825000000001,0.5769166666666684,0.625,0.0,0.0,0.008333333333333333,0.8374916666666669
granite3.2-vision:latest,zero_shot,synthetic_defect,synthetic_injected,96,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.96875,0.34375,0.0,0.96875,1.34375,0.0,1.0,0.9459375000000015,0.0034343750000000034,0.9259375000000015,0.96875,0.0,0.010416666666666666,0.03125,0.863125
granite3.2-vision:latest,zero_shot,testing_rule_spec,rule_spec_derived,5,0.8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.6,0.8,0.0,1.0,0.734,0.31598,0.6059999999999999,0.4,0.2,0.0,0.2,1.2933999999999999
llama3.2:3b,rubric_guided,acceptance_criterion,rule_seeded,96,1.0,0.28125,0.03125,0.0625,0.13953488372093023,0.08633093525179857,0.16316526610644258,0.17765567765567766,0.052154195011337875,7,0.08163265306122448,0.12903225806451613,0.1,0.71875,0.0,0.0,0.71875,0.16666666666666666,0.7916666666666666,0.09210526315789473,0.9078947368421053,0.819999999999999,0.49240000000000067,0.538749999999999,0.71875,0.0,0.0,1.0,0.8055729166666667
llama3.2:3b,rubric_guided,function_spec,test_oracle_derived,200,1.0,0.72,0.02,0.02,0.02631578947368421,0.022727272727272724,0.004020100502512563,0.2,0.007881773399014778,5,0.02,0.025806451612903226,0.022535211267605635,0.28,0.0,0.0,0.28,0.04,0.285,0.01,0.99,0.8199999999999961,0.21160000000000045,0.09999999999999609,0.28,0.0,0.0,1.0,0.8244250000000002
llama3.2:3b,rubric_guided,issue_statement,rule_seeded,96,0.9791666666666666,0.4375,0.14583333333333334,0.10909090909090909,0.05128205128205128,0.06976744186046512,0.2469135802469136,0.04133597883597884,0.04590017825311943,9,0.15517241379310345,0.04433497536945813,0.06896551724137932,0.2604166666666667,0.3020833333333333,0.15625,0.2604166666666667,0.90625,0.8958333333333334,0.19607843137254902,0.803921568627451,0.768229166666666,0.37605937500000014,0.35156250000000006,0.4791666666666667,0.010416666666666666,0.0,0.5729166666666666,1.0579374999999998
llama3.2:3b,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.0,1.0,0.8199999999999978,0.2723999999999996,0.19499999999999784,0.375,0.0,0.0,1.0,0.8149166666666664
llama3.2:3b,rubric_guided,synthetic_defect,synthetic_injected,96,0.9895833333333334,0.9583333333333334,0.19791666666666666,0.20652173913043478,0.19791666666666666,0.2021276595744681,0.21964285714285714,0.19791666666666666,0.13754474235159045,8,0.25510204081632654,0.1893939393939394,0.2173913043478261,0.0,0.041666666666666664,0.03125,0.0,0.041666666666666664,0.4166666666666667,0.11594202898550725,0.8840579710144928,0.8031249999999991,0.052485416666666666,0.15520833333333423,0.020833333333333332,0.0,0.0,0.9583333333333334,0.825000000000001
llama3.2:3b,rubric_guided,testing_rule_spec,rule_spec_derived,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.2,0.8,0.0,1.0,0.82,0.4164,0.41999999999999993,0.6,0.0,0.0,1.0,0.8026
llama3.2:3b,zero_shot,acceptance_criterion,rule_seeded,96,1.0,0.28125,0.03125,0.041666666666666664,0.09302325581395349,0.05755395683453238,0.00761904761904762,0.14285714285714285,0.014466546112115734,7,0.041666666666666664,0.06451612903225806,0.05063291139240506,0.71875,0.0,0.0,0.71875,0.16666666666666666,0.7916666666666666,0.08333333333333333,0.9166666666666666,0.819999999999999,0.49240000000000067,0.538749999999999,0.71875,0.0,0.0,1.0,0.7947500000000001
llama3.2:3b,zero_shot,function_spec,test_oracle_derived,200,1.0,0.72,0.02,0.02,0.02631578947368421,0.022727272727272724,0.004020100502512563,0.2,0.007881773399014778,5,0.02,0.025806451612903226,0.022535211267605635,0.28,0.0,0.0,0.28,0.04,0.285,0.005,0.995,0.8199999999999961,0.21160000000000045,0.09999999999999609,0.28,0.0,0.0,1.0,0.8040199999999997
llama3.2:3b,zero_shot,issue_statement,rule_seeded,96,0.96875,0.4895833333333333,0.15625,0.10344827586206896,0.05128205128205128,0.06857142857142857,0.12268518518518519,0.05324074074074074,0.03159041394335512,9,0.16129032258064516,0.04926108374384237,0.07547169811320754,0.25,0.2604166666666667,0.13541666666666666,0.25,0.8645833333333334,0.84375,0.09090909090909091,0.9090909090909091,0.6737500000000001,0.36590416666666675,0.33000000000000024,0.3854166666666667,0.07291666666666667,0.0,0.6041666666666666,1.0367291666666667
llama3.2:3b,zero_shot,layout_change_spec,mutation_description_derived,120,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.375,0.0,0.0,0.375,0.008333333333333333,0.375,0.0,1.0,0.8199999999999978,0.2723999999999996,0.19499999999999784,0.375,0.0,0.0,1.0,0.7952416666666673
llama3.2:3b,zero_shot,synthetic_defect,synthetic_injected,96,1.0,1.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20630787037037038,0.20833333333333334,0.14457070707070707,8,0.24752475247524752,0.1893939393939394,0.2145922746781116,0.0,0.0,0.0,0.0,0.0,0.375,0.11267605633802817,0.8873239436619719,0.819999999999999,0.03239999999999999,0.18000000000000105,0.0,0.0,0.0,1.0,0.8127916666666669
llama3.2:3b,zero_shot,testing_rule_spec,rule_spec_derived,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.2,0.8,0.0,1.0,0.82,0.4164,0.41999999999999993,0.6,0.0,0.0,1.0,0.8092
qwen2.5-coder:1.5b,rubric_guided,acceptance_criterion,rule_seeded,96,1.0,0.28125,0.041666666666666664,0.08461538461538462,0.2558139534883721,0.12716763005780346,0.04523809523809524,0.2857142857142857,0.0767554885201944,7,0.10526315789473684,0.22580645161290322,0.14358974358974358,0.71875,0.0,0.0,1.0729166666666667,0.16666666666666666,0.7916666666666666,0.4583333333333333,0.5076923076923077,0.7639583333333335,0.433585416666667,0.48270833333333346,0.010416666666666666,0.0,0.2604166666666667,1.3541666666666667,1.02034375
qwen2.5-coder:1.5b,rubric_guided,function_spec,test_oracle_derived,200,1.0,0.72,0.095,0.095,0.125,0.10795454545454546,0.12044653349001173,0.14460784313725492,0.0422386291131164,6,0.095,0.12258064516129032,0.10704225352112674,0.28,0.0,0.0,0.28,0.04,0.285,0.37,0.63,0.7774500000000009,0.20399850000000036,0.05745000000000089,0.0,0.0,0.49,1.0,0.8367199999999998
qwen2.5-coder:1.5b,rubric_guided,issue_statement,rule_seeded,96,0.9791666666666666,0.625,0.052083333333333336,0.13821138211382114,0.1452991452991453,0.14166666666666666,0.09006779349916605,0.11441176958418338,0.08453850676072898,9,0.2074074074074074,0.13793103448275862,0.16568047337278105,0.3541666666666667,0.020833333333333332,0.010416666666666666,0.625,0.5625,0.6979166666666666,0.34065934065934067,0.6693548387096774,0.8388541666666676,0.289603125,0.25552083333333364,0.19791666666666666,0.020833333333333332,0.40425531914893614,1.28125,1.1027291666666668
qwen2.5-coder:1.5b,rubric_guided,layout_change_spec,mutation_description_derived,120,0.9916666666666667,0.6333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,0.36666666666666664,0.008333333333333333,0.36666666666666664,0.4789915966386555,0.5210084033613446,0.7520000000000003,0.244935,0.1353333333333337,0.0,0.008333333333333333,0.5294117647058824,0.9916666666666667,0.9327333333333334
qwen2.5-coder:1.5b,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,1.0,0.125,0.12403100775193798,0.16666666666666666,0.14222222222222222,0.07567663817663818,0.14814814814814817,0.09622721928277483,9,0.13076923076923078,0.12878787878787878,0.12977099236641224,0.0,0.0,0.0,0.34375,0.0,0.375,0.3923611111111111,0.6124031007751938,0.7586458333333335,0.05879062499999999,0.24135416666666656,0.0,0.0,0.4791666666666667,1.34375,0.969770833333333
qwen2.5-coder:1.5b,rubric_guided,testing_rule_spec,rule_spec_derived,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.2,0.8,0.4,0.6,0.768,0.39004000000000005,0.368,0.0,0.0,0.2,1.0,0.873
qwen2.5-coder:1.5b,zero_shot,acceptance_criterion,rule_seeded,96,1.0,0.28125,0.03125,0.07246376811594203,0.23255813953488372,0.11049723756906078,0.059924464473973836,0.25,0.09296235679214403,7,0.08571428571428572,0.1935483870967742,0.1188118811881188,0.71875,0.0,0.0,1.1458333333333333,0.15625,0.7916666666666666,0.4913194444444444,0.4855072463768116,0.7561458333333334,0.42850729166666673,0.47489583333333335,0.010416666666666666,0.0,0.23958333333333334,1.4375,1.0098541666666672
qwen2.5-coder:1.5b,zero_shot,function_spec,test_oracle_derived,200,0.995,0.715,0.17,0.17475728155339806,0.23684210526315788,0.2011173184357542,0.10175115207373273,0.10714285714285714,0.060885351207931857,7,0.17307692307692307,0.23225806451612904,0.19834710743801653,0.28,0.005,0.0,0.315,0.045,0.295,0.4547738693467337,0.5388349514563107,0.7579500000000003,0.20768850000000022,0.04295000000000033,0.0,0.0,0.35678391959798994,1.03,0.9067799999999999
qwen2.5-coder:1.5b,zero_shot,issue_statement,rule_seeded,96,0.9895833333333334,0.59375,0.03125,0.14166666666666666,0.1452991452991453,0.14345991561181437,0.09025402531527758,0.11044351561592941,0.08425048040811588,9,0.21374045801526717,0.13793103448275862,0.16766467065868265,0.3645833333333333,0.041666666666666664,0.020833333333333332,0.625,0.59375,0.7395833333333334,0.32037037037037036,0.6666666666666666,0.8408333333333341,0.28507916666666666,0.26791666666666686,0.1875,0.010416666666666666,0.3473684210526316,1.25,0.9896562499999999
qwen2.5-coder:1.5b,zero_shot,layout_change_spec,mutation_description_derived,120,0.9833333333333333,0.6416666666666667,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.35833333333333334,0.0,0.0,0.35833333333333334,0.008333333333333333,0.35833333333333334,0.4491525423728814,0.5508474576271186,0.7420000000000002,0.24101000000000003,0.1336666666666669,0.0,0.016666666666666666,0.5169491525423728,0.9833333333333333,0.9522166666666663
qwen2.5-coder:1.5b,zero_shot,synthetic_defect,synthetic_injected,96,1.0,1.0,0.10416666666666667,0.08955223880597014,0.125,0.10434782608695653,0.04798841968653289,0.1111111111111111,0.06122190566635011,9,0.0962962962962963,0.09848484848484848,0.09737827715355804,0.0,0.0,0.0,0.3958333333333333,0.0,0.375,0.3958333333333333,0.6194029850746269,0.7530208333333334,0.061434375000000006,0.2469791666666666,0.0,0.0,0.3645833333333333,1.3958333333333333,1.0376979166666669
qwen2.5-coder:1.5b,zero_shot,testing_rule_spec,rule_spec_derived,5,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.6,0.25,0.75,0.6,0.25,0.4,0.0,0.2,0.0,0.8,0.9734000000000002
qwen2.5-coder:14b,rubric_guided,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.7083333333333334,0.5,0.023255813953488372,0.04444444444444444,0.16666666666666666,0.018518518518518517,0.03333333333333333,6,0.5,0.016129032258064516,0.03125,0.010416666666666666,0.2708333333333333,0.07291666666666667,0.010416666666666666,0.4375,0.3541666666666667,1.0,0.0,0.9962499999999999,0.7156750000000001,0.2774999999999999,0.28125,0.0,0.0,0.020833333333333332,3.3822916666666676
qwen2.5-coder:14b,rubric_guided,function_spec,test_oracle_derived,200,0.995,0.485,0.21,0.3076923076923077,0.2631578947368421,0.28368794326241137,0.2106060606060606,0.25735294117647056,0.14380952380952378,5,0.3106060606060606,0.2645161290322581,0.2857142857142857,0.075,0.44,0.0,0.365,0.475,0.525,0.9714285714285714,0.02564102564102564,0.9187999999999993,0.26212100000000016,0.4963,0.495,0.005,0.010050251256281407,0.65,5.552429999999999
qwen2.5-coder:14b,rubric_guided,issue_statement,rule_seeded,96,1.0,0.40625,0.34375,0.16666666666666666,0.017094017094017096,0.0310077519379845,0.12962962962962965,0.010775862068965518,0.01942110177404295,9,0.26666666666666666,0.019704433497536946,0.03669724770642202,0.041666666666666664,0.5520833333333334,0.2708333333333333,0.0625,1.15625,0.9270833333333334,0.9,0.08333333333333333,0.9826041666666666,0.37618854166666665,0.5763541666666667,0.59375,0.0,0.0,0.125,4.3311979166666665
qwen2.5-coder:14b,rubric_guided,layout_change_spec,mutation_description_derived,120,1.0,0.425,0.375,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.575,0.0,0.016666666666666666,0.5833333333333334,0.575,1.0,0.0,0.9909999999999999,0.37662000000000007,0.584,0.575,0.0,0.0,0.06666666666666667,5.641858333333332
qwen2.5-coder:14b,rubric_guided,synthetic_defect,synthetic_injected,96,1.0,0.3541666666666667,0.20833333333333334,0.5882352941176471,0.20833333333333334,0.3076923076923077,0.1875,0.20833333333333331,0.18333333333333335,8,0.5185185185185185,0.21212121212121213,0.3010752688172043,0.0,0.6458333333333334,0.14583333333333334,0.0,0.6458333333333334,1.0208333333333333,1.0,0.0,0.9362499999999994,0.011475,0.7095833333333333,0.6458333333333334,0.0,0.0,0.3541666666666667,4.406239583333334
qwen2.5-coder:14b,rubric_guided,testing_rule_spec,rule_spec_derived,5,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.6,0.6,0.0,0.0,1.0,0.6,0.4,0.4,0.0,0.0,0.0,5.365
qwen2.5-coder:14b,zero_shot,acceptance_criterion,rule_seeded,96,1.0,0.71875,0.7083333333333334,0.5,0.023255813953488372,0.04444444444444444,0.16666666666666666,0.018518518518518517,0.03333333333333333,6,0.5,0.016129032258064516,0.03125,0.010416666666666666,0.2708333333333333,0.07291666666666667,0.010416666666666666,0.4375,0.3541666666666667,1.0,0.0,0.9962499999999999,0.7156750000000001,0.2774999999999999,0.28125,0.0,0.0,0.020833333333333332,3.7312604166666645
qwen2.5-coder:14b,zero_shot,function_spec,test_oracle_derived,200,0.99,0.48,0.23,0.2828282828282828,0.18421052631578946,0.22310756972111553,0.175,0.041176470588235294,0.06666666666666668,5,0.28,0.18064516129032257,0.21960784313725487,0.065,0.455,0.0,0.23,0.495,0.53,0.9848484848484849,0.010752688172043012,0.9287999999999986,0.2574960000000004,0.4763,0.515,0.01,0.005050505050505051,0.495,5.123365000000002
